Time,X,Y,Z
152.192,7.066884071985319,11.717226489109335,15.871862214131443
152.196,7.254715049698219,12.014430007198191,16.040807795655137
152.20000000000002,7.447000380341961,12.314515016243496,16.226054503825825
152.204,7.643683446884324,12.61691891468044,16.428212026106333
152.208,7.8446745252046135,12.9209997278076,16.647841102875944
152.212,8.049850784088218,13.226036107778418,16.885453527425238
152.216,8.259056285229471,13.531227333605505,17.141512145959254
152.22,8.472101983225672,13.835693311151953,17.41643085759006
152.224,8.688765725586004,14.138474573144357,17.710574614347696
152.228,8.908792252727192,14.438532279166262,18.024259421175287
152.232,9.131893197968703,14.734748215651813,18.35775233592179
152.236,9.357747087542116,15.025924795898565,18.711271469355328
152.24,9.585999340586532,15.310785060060917,19.084985985157157
152.244,9.816262269143621,15.587972675144217,19.47901609991306
152.248,10.048115078167342,15.856051935016904,19.893433083129285
152.252,10.281103865519151,16.113507760404154,20.328259257225206
152.256,10.51474162196296,16.358745698882675,20.783467997523438
152.26,10.748508231175094,16.590091924891716,21.258983732268337
152.264,10.981850469739317,16.80579323972712,21.754681942617417
152.268,11.214226111984113,17.0042265265349,22.270401252330984
152.272,11.445271301053442,17.184931366631286,22.805633950975572
152.276,11.674141045981443,17.345712472702616,23.359034284513815
152.28,11.899901037313679,17.484160951836934,23.929071940377042
152.284,12.121625219852021,17.598081973569712,24.514114359385495
152.288,12.338395792649644,17.685494769879643,25.11242673573701
152.292,12.549303209006526,17.74463263518754,25.722172016993774
152.296,12.75344617647871,17.773942926360093,26.34141090410786
152.3,12.949931656873456,17.77208706270706,26.968101851408775
152.304,13.13787486624528,17.737940525982257,27.6001010665898
152.308,13.316399274904331,17.670592860383472,28.235162510734728
152.312,13.484636607411908,17.56934767255147,28.8709378983046
152.316,13.641726842577166,17.4337226315732,29.504976697124057
152.32,13.786818213464311,17.263449468977477,30.134726128408477
152.324,13.919067207388622,17.05847397873605,30.757531166750276
152.328,14.037638565914008,16.818956017269063,31.37063454010577
152.332,14.141705284858675,16.545269503436323,31.97117672982177
152.336,14.230448614291825,16.238002418540567,32.556195970621886
152.34,14.303058058532235,15.89795680633513,33.12262825059448
152.344,14.358731376152049,15.5261487730108,33.66730731121759
152.348,14.396726728791078,15.123377897601955,34.186746694560526
152.352,14.416795270939293,14.688953015098766,34.67662776111269
152.356,14.418691077086502,14.226523620139162,35.13509292033964
152.36,14.402206977516151,13.740322120983805,35.560869459415706
152.364,14.367233458609423,13.234353126832936,35.95285245373383
152.368,14.313758662844538,12.712393447805606,36.310104766923736
152.372,14.241868388796519,12.177992094949524,36.631857050841695
152.376,14.151746091139302,11.634470280252955,36.91750774556482
152.38,14.043672880642685,11.08492141662192,37.16662307940478
152.38400000000001,13.918027524173281,10.53221111789137,37.37893706889976
152.388,13.775286444697764,9.978977198837185,37.55435151881111
152.392,13.616023721277514,9.42762967515256,37.69293602213242
152.39600000000002,13.440911089070767,8.88035076345987,37.79492796008378
152.4,13.25071793933687,8.33909488132225,37.8607325021108
152.404,13.046311319428817,7.805588647220263,37.89092260588895
152.40800000000002,12.82865593279652,7.281330880563809,37.886239017320285
152.412,12.598814138991903,6.767592601703045,37.847590270534596
152.416,12.357945953659616,6.265417031906029,37.7760526878893
152.42000000000002,12.107309048541316,5.775619593370255,37.672870379968415
152.424,11.84825875148137,5.298787909232738,37.539455245585856
152.428,11.582026092083579,4.835976450448229,37.37771706530076
152.43200000000002,11.308529283985385,4.392290758498045,37.191641749823695
152.436,11.02870036147905,3.9693193318303837,36.98349449531142
152.44,10.743684833170969,3.5676600539443593,36.755098831424746
152.44400000000002,10.454577219973912,3.187756220770755,36.5082445106364
152.448,10.162421055113356,2.8298965406794414,36.244687508236964
152.452,9.868208884115145,2.4942151344631767,35.96615002232429
152.45600000000002,9.57288226481159,2.1806915353464102,35.674320473808315
152.46,9.277331767347825,1.8891506889912622,35.37085350641775
152.464,8.982396974169212,1.6192629534841556,35.05736998668762
152.468,8.688866480029738,1.3705440993448859,34.73545700396749
152.472,8.397477891987842,1.1423553095227632,34.406667870417046
152.476,8.108917829414704,0.933903179402952,34.072522121015545
152.48,7.823821923981798,0.7442397167967476,33.734505513547724
152.484,7.5427748196672235,0.5722623419470452,33.39407002861073
152.488,7.266310172761578,0.41671388753140093,33.05263386962145
152.492,6.994917337209763,0.27629589396461857,32.71144294062855
152.496,6.729058681086696,0.15076728770336972,32.370284544323724
152.5,6.4690451137918235,0.03946228759422882,32.029448828801804
152.504,6.215136384998382,-0.05849161816704651,31.68946558085267
152.508,5.9675640793691045,-0.14394339201549544,31.350818139145325
152.512,5.726531616561308,-0.2177184470155591,31.01394339423512
152.516,5.492214251216333,-0.2806186468647148,30.6792317885493
152.52,5.264759072965034,-0.3334223058913075,30.347027316394282
152.524,5.044285006432419,-0.3768841890537714,30.01762752396268
152.528,4.83088281122795,-0.41173551194287217,29.69128350931915
152.532,4.624615081950608,-0.43868394078030803,29.368199922407527
152.536,4.42551624819308,-0.4584135924184092,29.04853496505767
152.54,4.233592574532952,-0.47158503434127963,28.73240039097164
152.544,4.0488221605373385,-0.47883528466401304,28.419861505730722
152.548,3.871154940766596,-0.4807778121327486,28.11093716680197
152.552,3.700512684766441,-0.47800253612497257,27.805599783524894
152.556,3.536788419248215,-0.47106446963711107,27.503786796729027
152.56,3.3798445663753154,-0.46030726275014966,27.20557759056386
152.564,3.2295435099538667,-0.44608567417123096,26.9109866090423
152.568,3.0857467119223196,-0.42877574453119716,26.61997862050245
152.572,2.9483114366373835,-0.4087300489528343,26.33251607630992
152.576,2.817090750867897,-0.3862776970501309,26.04855911084541
152.58,2.6919335237980926,-0.3617243329285692,25.768065541511053
152.584,2.572684427030063,-0.3353521351857264,25.490990868736258
152.588,2.4591839345784305,-0.30741981691022424,25.217288275965767
152.592,2.3512683228731963,-0.27816262568220274,24.946908629665728
152.596,2.2487696707618587,-0.24779234357399388,24.679800479329366
152.6,2.151515859504812,-0.21649728714887173,24.415910057465446
152.604,2.059330572777819,-0.1844423074616467,24.155181279604143
152.608,1.9720332966738012,-0.1517687900593785,23.8975557443025
152.612,1.8894393196989174,-0.11859465498000771,23.642972733133302
152.616,1.8113587110089338,-0.08501974138745133,23.39137133212406
152.62,1.7376156364871045,-0.051151812976781244,23.142702998166122
152.624,1.668066013463005,-0.017079052358727365,22.896920390041917
152.62800000000001,1.6025686474533845,0.0171219440598694,22.653976716903692
152.632,1.5409832121603984,0.051384020221618976,22.413826388715375
152.636,1.4831702494688206,0.08564946042004087,22.1764250162422
152.64000000000001,1.4289911694475572,0.11986998929883533,21.941729411055977
152.644,1.3783082503506838,0.1540067718511538,21.709697585540024
152.648,1.3309846386151343,0.1880304134210578,21.480288752879137
152.65200000000002,1.2868843488619652,0.22192095970278675,21.253463327064686
152.656,1.2458722638971875,0.25566789674003826,21.029182922899377
152.66,1.2078141347098876,0.2892701509274136,20.807410355987567
152.66400000000002,1.1725765804732633,0.3227360890096905,20.58810964274019
152.668,1.1400270885452786,0.35608351808111444,20.371246000379344
152.672,1.110034014467164,0.38933968558682513,20.156785846928944
152.67600000000002,1.0824665841438084,0.42254127731082636,19.944696801613812
152.68,1.0572221716012968,0.45571105875338214,19.734951601916094
152.684,1.0342347284683908,0.4888536554694127,19.527526486682238
152.68800000000002,1.0134311732397407,0.5219874661116536,19.322396010058547
152.692,0.9947397686908805,0.5551347807366213,19.119535488217828
152.696,0.9780901218773403,0.5883217808060255,18.918920999350604
152.70000000000002,0.9634131841351556,0.6215785391860641,18.72052938366957
152.704,0.9506412510811152,0.6549390201467131,18.524338243413773
152.708,0.9397079626121354,0.6884410793631441,18.33032594284012
152.712,0.9305483029056913,0.7221264639147793,18.138471608229054
